SMID,Mon Day,Mon Night,Tue Day,Tue Night,Wed Day,Wed Night,Thu Day,Thu Night,Fri Day,Fri Night,Sat Day,Sat Night,Sun Day,Sun Night,label,score
101378,16,15,19,18,65,92,62,22,65,26,30,6,74,29,Negative,0
103694,1038,1105,699,1011,1098,1050,585,707,932,826,715,721,1277,1073,Positive,2
106002,2152,1322,1777,1613,1926,1298,1959,1466,2012,1492,1474,722,1904,1477,Negative,0
107667,88,172,185,88,200,105,206,271,90,64,99,101,44,209,Negative,0
107776,430,153,572,294,330,380,360,271,272,184,168,497,447,423,Negative,0
109209,6488,4768,5152,4900,5694,5153,6222,5048,6650,4788,6314,5836,5692,5032,Negative,1
111778,5277,4232,4133,4600,4378,4042,4416,3964,4475,3855,3464,3575,3317,4124,Negative,0
112787,3051,4222,2770,3777,3446,3473,2613,3109,2840,2838,2758,3121,2829,3684,Positive,3
114349,324,425,647,674,763,667,804,1017,296,385,592,167,322,362,Negative,0
115882,16,25,22,104,122,30,48,11,193,27,43,16,60,41,Negative,1
116049,0,0,0,0,0,0,67,1594,2940,11737,16430,26266,15294,12446,Positive,4
116939,1549,2097,1888,1446,2020,1529,1883,1725,1592,920,1919,778,1559,1188,Negative,0
123825,957,317,894,227,1041,236,880,324,842,210,721,309,754,325,Negative,1
124854,3016,5804,3397,5788,3023,4426,4299,6042,3760,2864,4533,2734,6899,4247,Negative,0
125881,0,0,0,0,0,0,624,1941,1482,1961,10128,33067,1288,52188,Negative,0
126158,589,712,606,465,514,807,464,553,791,604,852,593,716,656,Negative,0
128616,0,0,0,0,0,0,0,0,250,5,293,598,465,1261,Negative,1
128666,14948,11344,13291,10119,13489,11114,12438,9750,14869,8617,12604,8425,12321,9726,Negative,0
129152,1676,1210,2188,1509,1897,1895,2002,2075,1457,923,1082,402,1297,945,Negative,0
129579,1420,1858,792,1442,1132,983,1201,836,1304,1153,1556,1100,1968,1858,Negative,1
129953,896,2080,1497,1006,1191,1553,1369,1984,890,372,1102,535,1040,923,Negative,0
130024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,10
130994,613,505,641,513,730,669,697,654,773,330,721,293,711,425,Negative,0
131368,10193,10284,9585,11146,8755,9287,10077,9478,8882,5888,8718,6453,8056,8839,Positive,2
131480,789,566,818,568,432,493,640,537,311,332,507,409,793,545,Positive,2
135144,4142,9570,4560,7603,4305,7548,3526,4747,3380,4922,4375,6118,5961,9974,Negative,0
136285,0,0,0,0,0,0,287,1621,2118,1622,1992,2999,165,1269,Negative,0
137555,271,92,36,16,23,19,27,11,81,34,17,9,20,11,Positive,3
138929,44550,55395,38794,49978,39510,52459,40407,42865,39336,30358,45028,31630,49309,49172,Negative,1
139069,0,0,0,0,44,75,72,8969,53107,93318,40245,33337,470,2044,Positive,6
139866,708,534,837,707,557,754,589,648,588,412,610,465,519,380,Positive,2
139885,147,168,85,254,53,174,270,284,116,117,265,52,329,501,Positive,3
141101,5078,9259,4459,8191,4822,9474,5197,8468,3906,6681,4029,8124,5182,9201,Negative,0
141890,15151,21789,13901,19321,12121,21545,15024,19562,12494,11527,17850,13677,19889,19333,Negative,0
142003,0,0,0,0,0,0,4003,9997,12322,9319,9085,20940,19818,45000,Positive,5
143026,772,756,814,1666,2311,1372,1344,3005,962,1485,969,380,552,663,Negative,0
143836,1010,1206,941,1604,757,1044,1104,736,992,747,1270,547,1522,1335,Negative,0
147158,2062,1838,2013,1470,1932,1420,2162,1174,1961,878,1963,1174,2154,1396,Negative,0
148075,576,594,654,1208,1081,873,830,642,804,1165,605,487,652,766,Negative,0
148906,932,535,906,620,676,427,520,728,715,318,543,334,453,675,Negative,0
