SMID,weekdays,weekends,sum,label,score
101378,0.5732838589981447,0.4267161410018553,"count    539
dtype: int64",Negative,0
103694,0.5681233933161953,0.4318766066838046,"count    12837
dtype: int64",Positive,2
106002,0.5980791360538196,0.40192086394618043,"count    22594
dtype: int64",Negative,0
107667,0.6841831425598335,0.3158168574401665,"count    1922
dtype: int64",Negative,0
107776,0.5835599247019452,0.4164400752980548,"count    4781
dtype: int64",Negative,0
109209,0.5586143020697995,0.44138569793020055,"count    77737
dtype: int64",Negative,1
111778,0.6057180391343429,0.3942819608656572,"count    57852
dtype: int64",Negative,0
112787,0.5942152657699131,0.40578473423008693,"count    44531
dtype: int64",Positive,3
114349,0.7147078576225655,0.2852921423774345,"count    7445
dtype: int64",Negative,0
115882,0.49868073878627966,0.5013192612137203,"count    758
dtype: int64",Negative,1
116049,0.019141678382925763,0.9808583216170742,"count    86774
dtype: int64",Positive,4
116939,0.6398859367220386,0.36011406327796136,"count    22093
dtype: int64",Negative,0
123825,0.6066940400647007,0.39330595993529927,"count    8037
dtype: int64",Negative,1
124854,0.5884238558653341,0.411576144134666,"count    60832
dtype: int64",Negative,0
125881,0.02498076529767528,0.9750192347023248,"count    102679
dtype: int64",Negative,0
126158,0.5279085406859448,0.47209145931405516,"count    8922
dtype: int64",Negative,0
128616,0.0,1.0,"count    2872
dtype: int64",Negative,1
128666,0.5917819140780718,0.4082180859219282,"count    163055
dtype: int64",Negative,0
129152,0.7029866718552389,0.29701332814476117,"count    20558
dtype: int64",Negative,0
129579,0.5194861043917648,0.4805138956082352,"count    18603
dtype: int64",Negative,1
129953,0.7042219248083709,0.29577807519162913,"count    16438
dtype: int64",Negative,0
130024,,,"count    0
dtype: int64",Positive,10
130994,0.6068882175226586,0.3931117824773414,"count    8275
dtype: int64",Negative,0
131368,0.6272235973925709,0.3727764026074291,"count    125641
dtype: int64",Positive,2
131480,0.6257105943152454,0.3742894056847545,"count    7740
dtype: int64",Positive,2
135144,0.5698058986015285,0.4301941013984715,"count    80731
dtype: int64",Negative,0
136285,0.1580385985256357,0.8419614014743643,"count    12073
dtype: int64",Negative,0
137555,0.7421289355322339,0.25787106446776614,"count    667
dtype: int64",Positive,3
138929,0.5978373530489117,0.40216264695108833,"count    608791
dtype: int64",Negative,1
139069,0.039537122163664694,0.9604628778363353,"count    231681
dtype: int64",Positive,6
139866,0.6420317766008666,0.35796822339913337,"count    8308
dtype: int64",Positive,2
139885,0.5097690941385435,0.49023090586145646,"count    2815
dtype: int64",Positive,3
141101,0.5968002954241836,0.4031997045758165,"count    92071
dtype: int64",Negative,0
141890,0.593582750102923,0.406417249897077,"count    233184
dtype: int64",Negative,0
142003,0.10729284816529229,0.8927071518347077,"count    130484
dtype: int64",Positive,5
143026,0.7061169432877837,0.2938830567122163,"count    17051
dtype: int64",Negative,0
143836,0.5671279109011137,0.43287208909888625,"count    14815
dtype: int64",Negative,0
147158,0.5963046149934313,0.40369538500656865,"count    23597
dtype: int64",Negative,0
148075,0.5904727073237633,0.4095272926762366,"count    10937
dtype: int64",Negative,0
148906,0.637556669052732,0.36244333094726794,"count    8382
dtype: int64",Negative,0
152060,0.5825446898002103,0.4174553101997897,"count    3804
dtype: int64",Negative,0
152162,0.5685323634404257,0.4314676365595743,"count    14847
dtype: int64",Negative,0
152773,0.5788673019140675,0.42113269808593246,"count    396381
dtype: int64",Negative,0
153985,0.6210432124081876,0.3789567875918124,"count    26821
dtype: int64",Negative,0
154483,0.7417856143296949,0.2582143856703051,"count    17865
dtype: int64",Positive,2
155434,0.6176088591154556,0.3823911408845444,"count    14629
dtype: int64",Negative,0
155667,0.6320299112011216,0.3679700887988783,"count    6419
dtype: int64",Negative,0
156112,0.6089899713467049,0.39101002865329515,"count    27920
dtype: int64",Positive,5
157389,0.8032786885245902,0.19672131147540983,"count    61
dtype: int64",Negative,0
159516,0.004434898474633574,0.9955651015253665,"count    100566
dtype: int64",Positive,7
159730,0.5781710914454278,0.4218289085545723,"count    339
dtype: int64",Negative,0
159999,0.1319760131540768,0.8680239868459232,"count    20678
dtype: int64",Negative,1
160208,,,"count    0
dtype: int64",Positive,3
161004,0.6471424405890072,0.35285755941099284,"count    27436
dtype: int64",Negative,0
162034,0.5863531747822556,0.4136468252177445,"count    22159
dtype: int64",Negative,1
162861,0.3445628997867804,0.6554371002132197,"count    11725
dtype: int64",Positive,4
165226,0.6368629619389918,0.3631370380610082,"count    54255
dtype: int64",Negative,0
165250,0.5338561784166863,0.46614382158331374,"count    59546
dtype: int64",Negative,0
167852,0.6421776968225056,0.3578223031774944,"count    4941
dtype: int64",Positive,5
167925,0.5691906450293195,0.43080935497068046,"count    58664
dtype: int64",Negative,0
168307,0.6738359725833136,0.3261640274166864,"count    4231
dtype: int64",Negative,1
170384,0.7104761904761905,0.2895238095238095,"count    525
dtype: int64",Negative,0
170566,0.5939932700517302,0.4060067299482698,"count    59733
dtype: int64",Negative,0
170991,0.5756369426751592,0.42436305732484075,"count    1256
dtype: int64",Negative,0
171053,0.6032775017275988,0.3967224982724012,"count    30389
dtype: int64",Negative,0
171284,0.5895177844331527,0.4104822155668473,"count    297170
dtype: int64",Negative,0
172121,0.6077267932489452,0.39227320675105487,"count    7584
dtype: int64",Negative,0
176369,0.5226350158842217,0.4773649841157783,"count    45328
dtype: int64",Negative,0
181559,0.6390095101381662,0.36099048986183385,"count    83595
dtype: int64",Positive,3
182834,0.5907801673069328,0.40921983269306716,"count    55706
dtype: int64",Positive,2
184406,0.5856083890797324,0.4143916109202676,"count    5531
dtype: int64",Positive,2
185177,0.034035295862375796,0.9659647041376243,"count    13486
dtype: int64",Negative,0
186320,0.6344029784593564,0.36559702154064355,"count    112810
dtype: int64",Negative,0
188832,0.2608695652173913,0.7391304347826086,"count    598
dtype: int64",Negative,0
189312,0.5207931486767996,0.47920685132320034,"count    25922
dtype: int64",Negative,1
190553,0.5783688100190291,0.42163118998097093,"count    112985
dtype: int64",Positive,2
191301,0.6623253611176888,0.33767463888231114,"count    4223
dtype: int64",Positive,3
193151,0.1927400364331097,0.8072599635668903,"count    45014
dtype: int64",Negative,0
193917,0.6056462843397898,0.39435371566021016,"count    7899
dtype: int64",Negative,1
193998,0.5766176361732951,0.42338236382670486,"count    94567
dtype: int64",Negative,0
194028,0.5959367063879664,0.4040632936120336,"count    25595
dtype: int64",Positive,3
194620,0.5787625978738931,0.42123740212610694,"count    101406
dtype: int64",Negative,0
195753,0.5011037527593819,0.4988962472406181,"count    453
dtype: int64",Negative,0
197441,0.4090909090909091,0.5909090909090909,"count    22
dtype: int64",Negative,0
197710,0.7003350885591192,0.2996649114408808,"count    6267
dtype: int64",Negative,0
201709,0.0,1.0,"count    1676
dtype: int64",Negative,0
205329,0.16890837482351193,0.831091625176488,"count    13457
dtype: int64",Negative,1
210565,0.5793975970322794,0.4206024029677205,"count    36122
dtype: int64",Negative,0
211066,0.7230021598272138,0.27699784017278617,"count    7408
dtype: int64",Negative,0
212199,0.06394207167403043,0.9360579283259696,"count    8148
dtype: int64",Negative,0
212504,0.6333333333333333,0.36666666666666664,"count    5640
dtype: int64",Positive,2
212590,0.6253934942287513,0.3746065057712487,"count    2859
dtype: int64",Positive,3
212903,0.5392690513219285,0.4607309486780715,"count    2572
dtype: int64",Negative,0
212961,0.6712328767123288,0.3287671232876712,"count    219
dtype: int64",Negative,0
213008,0.0946031746031746,0.9053968253968254,"count    58275
dtype: int64",Negative,0
215644,0.3333333333333333,0.6666666666666666,"count    114
dtype: int64",Positive,2
215706,0.6496361848574238,0.3503638151425762,"count    25425
dtype: int64",Negative,0
216734,0.6413974950560316,0.35860250494396834,"count    3034
dtype: int64",Negative,0
218409,0.5687263743786648,0.43127362562133525,"count    67194
dtype: int64",Negative,0
218711,0.6899661460555887,0.31003385394441124,"count    35151
dtype: int64",Negative,0
